description,event_datetime,visiting_team,home_team_score,visiting_team_score,promotion,zone_name,section_name,number_of_transactions,number_of_tickets
San Francisco Giants vs. Atlanta Braves,5/26/17 7:15 PM,Atlanta Braves,0,2,,Lower Baselines,Lower Box 129,76,255
San Francisco Giants vs. Atlanta Braves,5/26/17 7:15 PM,Atlanta Braves,0,2,,Lower Baselines,Lower Box 130,56,167
San Francisco Giants vs. Atlanta Braves,5/26/17 7:15 PM,Atlanta Braves,0,2,,Reserve Baselines,View Reserve Outfield 325,10,35
San Francisco Giants vs. Atlanta Braves,5/26/17 7:15 PM,Atlanta Braves,0,2,,Reserve Baselines,View Reserve Outfield 326,19,64
San Francisco Giants vs. Atlanta Braves,5/26/17 7:15 PM,Atlanta Braves,0,2,,Reserve Baselines,View Reserve Outfield 327,68,197
San Francisco Giants vs. Atlanta Braves,5/26/17 7:15 PM,Atlanta Braves,0,2,,Reserve Baselines,View Reserve Outfield 328,74,208
San Francisco Giants vs. Atlanta Braves,5/26/17 7:15 PM,Atlanta Braves,0,2,,Reserve Baselines,View Reserve Outfield 330,61,207
San Francisco Giants vs. Atlanta Braves,5/26/17 7:15 PM,Atlanta Braves,0,2,,Reserve Baselines,View Reserve Outfield 331,5,11
San Francisco Giants vs. Atlanta Braves,5/26/17 7:15 PM,Atlanta Braves,0,2,,Reserve Baselines,View Reserve Right Field 302,30,77
San Francisco Giants vs. Atlanta Braves,5/26/17 7:15 PM,Atlanta Braves,0,2,,Reserve Baselines,View Reserve Right Field 304,52,181
San Francisco Giants vs. Atlanta Braves,5/26/17 7:15 PM,Atlanta Braves,0,2,,Reserve Baselines,View Reserve Right Field 305,70,236
San Francisco Giants vs. Atlanta Braves,5/26/17 7:15 PM,Atlanta Braves,0,2,,Reserve Baselines,View Reserve Right Field 307,11,39
San Francisco Giants vs. Atlanta Braves,5/26/17 7:15 PM,Atlanta Braves,0,2,,View Deck Baselines,View Box 302,1,4
San Francisco Giants vs. Atlanta Braves,5/26/17 7:15 PM,Atlanta Braves,0,2,,View Deck Baselines,View Box 304,14,28
San Francisco Giants vs. Atlanta Braves,5/26/17 7:15 PM,Atlanta Braves,0,2,,View Deck Baselines,View Box 305,11,29
San Francisco Giants vs. Atlanta Braves,5/26/17 7:15 PM,Atlanta Braves,0,2,,View Deck Baselines,View Box 326,12,28
San Francisco Giants vs. Atlanta Braves,5/26/17 7:15 PM,Atlanta Braves,0,2,,View Deck Baselines,View Box 327,15,51
San Francisco Giants vs. Atlanta Braves,5/26/17 7:15 PM,Atlanta Braves,0,2,,View Deck Baselines,View Box 328,9,25
San Francisco Giants vs. Atlanta Braves,5/26/17 7:15 PM,Atlanta Braves,0,2,,View Deck Baselines,View Box 330,12,35
San Francisco Giants vs. Atlanta Braves,5/26/17 7:15 PM,Atlanta Braves,0,2,,View Deck Baselines,View Box 331,12,58
San Francisco Giants vs. Atlanta Braves,5/27/17 7:05 PM,Atlanta Braves,6,3,,Club Baselines,Club Level Outfield 202,7,19
San Francisco Giants vs. Atlanta Braves,5/27/17 7:05 PM,Atlanta Braves,6,3,,Club Baselines,Club Level Outfield 203,13,37
San Francisco Giants vs. Atlanta Braves,5/27/17 7:05 PM,Atlanta Braves,6,3,,Club Baselines,Club Level Outfield 204,21,52
San Francisco Giants vs. Atlanta Braves,5/27/17 7:05 PM,Atlanta Braves,6,3,,Club Baselines,Club Level Outfield 205,12,30
San Francisco Giants vs. Atlanta Braves,5/27/17 7:05 PM,Atlanta Braves,6,3,,Club Baselines,Club Level Outfield 226,11,27
San Francisco Giants vs. Atlanta Braves,5/27/17 7:05 PM,Atlanta Braves,6,3,,Club Baselines,Club Level Outfield 227,18,50
San Francisco Giants vs. Atlanta Braves,5/27/17 7:05 PM,Atlanta Braves,6,3,,Club Baselines,Club Level Outfield 228,13,37
San Francisco Giants vs. Atlanta Braves,5/27/17 7:05 PM,Atlanta Braves,6,3,,Club Baselines,Club Level Outfield 229,20,52
San Francisco Giants vs. Atlanta Braves,5/27/17 7:05 PM,Atlanta Braves,6,3,,Club Baselines,Club Level Outfield 230,12,35
San Francisco Giants vs. Atlanta Braves,5/27/17 7:05 PM,Atlanta Braves,6,3,,Club Baselines,Club Level Outfield 231,4,10
San Francisco Giants vs. Atlanta Braves,5/27/17 7:05 PM,Atlanta Braves,6,3,,Lower Baselines,Lower Box 102,30,73
San Francisco Giants vs. Atlanta Braves,5/27/17 7:05 PM,Atlanta Braves,6,3,,Lower Baselines,Lower Box 103,52,153
San Francisco Giants vs. Atlanta Braves,5/27/17 7:05 PM,Atlanta Braves,6,3,,Lower Baselines,Lower Box 104,49,136
San Francisco Giants vs. Atlanta Braves,5/27/17 7:05 PM,Atlanta Braves,6,3,,Lower Baselines,Lower Box 127,69,170
San Francisco Giants vs. Atlanta Braves,5/27/17 7:05 PM,Atlanta Braves,6,3,,Lower Baselines,Lower Box 128,56,139
San Francisco Giants vs. Atlanta Braves,5/27/17 7:05 PM,Atlanta Braves,6,3,,Lower Baselines,Lower Box 129,69,228
San Francisco Giants vs. Atlanta Braves,5/27/17 7:05 PM,Atlanta Braves,6,3,,Lower Baselines,Lower Box 130,49,157
San Francisco Giants vs. Atlanta Braves,5/27/17 7:05 PM,Atlanta Braves,6,3,,Reserve Baselines,View Reserve Outfield 325,10,45
San Francisco Giants vs. Atlanta Braves,5/27/17 7:05 PM,Atlanta Braves,6,3,,Reserve Baselines,View Reserve Outfield 326,21,102
San Francisco Giants vs. Atlanta Braves,5/27/17 7:05 PM,Atlanta Braves,6,3,,Reserve Baselines,View Reserve Outfield 327,70,213
San Francisco Giants vs. Atlanta Braves,5/27/17 7:05 PM,Atlanta Braves,6,3,,Reserve Baselines,View Reserve Outfield 328,75,208
San Francisco Giants vs. Atlanta Braves,5/27/17 7:05 PM,Atlanta Braves,6,3,,Reserve Baselines,View Reserve Outfield 330,67,200
San Francisco Giants vs. Atlanta Braves,5/27/17 7:05 PM,Atlanta Braves,6,3,,Reserve Baselines,View Reserve Outfield 331,19,66
San Francisco Giants vs. Atlanta Braves,5/27/17 7:05 PM,Atlanta Braves,6,3,,Reserve Baselines,View Reserve Right Field 302,29,82
San Francisco Giants vs. Atlanta Braves,5/27/17 7:05 PM,Atlanta Braves,6,3,,Reserve Baselines,View Reserve Right Field 304,64,216
San Francisco Giants vs. Atlanta Braves,5/27/17 7:05 PM,Atlanta Braves,6,3,,Reserve Baselines,View Reserve Right Field 305,57,197
San Francisco Giants vs. Atlanta Braves,5/27/17 7:05 PM,Atlanta Braves,6,3,,Reserve Baselines,View Reserve Right Field 307,27,98
San Francisco Giants vs. Atlanta Braves,5/27/17 7:05 PM,Atlanta Braves,6,3,,View Deck Baselines,View Box 302,5,14
San Francisco Giants vs. Atlanta Braves,5/27/17 7:05 PM,Atlanta Braves,6,3,,View Deck Baselines,View Box 304,9,15
San Francisco Giants vs. Atlanta Braves,5/27/17 7:05 PM,Atlanta Braves,6,3,,View Deck Baselines,View Box 305,7,13
San Francisco Giants vs. Atlanta Braves,5/27/17 7:05 PM,Atlanta Braves,6,3,,View Deck Baselines,View Box 326,10,23
San Francisco Giants vs. Atlanta Braves,5/27/17 7:05 PM,Atlanta Braves,6,3,,View Deck Baselines,View Box 327,18,55
San Francisco Giants vs. Atlanta Braves,5/27/17 7:05 PM,Atlanta Braves,6,3,,View Deck Baselines,View Box 328,8,24
San Francisco Giants vs. Atlanta Braves,5/27/17 7:05 PM,Atlanta Braves,6,3,,View Deck Baselines,View Box 330,9,30
San Francisco Giants vs. Atlanta Braves,5/27/17 7:05 PM,Atlanta Braves,6,3,,View Deck Baselines,View Box 331,11,55
San Francisco Giants vs. Atlanta Braves,5/28/17 1:05 PM,Atlanta Braves,7,1,,Club Baselines,Club Level Outfield 202,14,29
San Francisco Giants vs. Atlanta Braves,5/28/17 1:05 PM,Atlanta Braves,7,1,,Club Baselines,Club Level Outfield 203,16,43
San Francisco Giants vs. Atlanta Braves,5/28/17 1:05 PM,Atlanta Braves,7,1,,Club Baselines,Club Level Outfield 204,22,44
San Francisco Giants vs. Atlanta Braves,5/28/17 1:05 PM,Atlanta Braves,7,1,,Club Baselines,Club Level Outfield 205,22,51
San Francisco Giants vs. Atlanta Braves,5/28/17 1:05 PM,Atlanta Braves,7,1,,Club Baselines,Club Level Outfield 226,15,38
San Francisco Giants vs. Atlanta Braves,5/28/17 1:05 PM,Atlanta Braves,7,1,,Club Baselines,Club Level Outfield 227,24,68
San Francisco Giants vs. Atlanta Braves,5/28/17 1:05 PM,Atlanta Braves,7,1,,Club Baselines,Club Level Outfield 228,18,48
San Francisco Giants vs. Atlanta Braves,5/28/17 1:05 PM,Atlanta Braves,7,1,,Club Baselines,Club Level Outfield 229,26,70
San Francisco Giants vs. Atlanta Braves,5/28/17 1:05 PM,Atlanta Braves,7,1,,Club Baselines,Club Level Outfield 230,12,32
San Francisco Giants vs. Atlanta Braves,5/28/17 1:05 PM,Atlanta Braves,7,1,,Club Baselines,Club Level Outfield 231,5,12
San Francisco Giants vs. Atlanta Braves,5/28/17 1:05 PM,Atlanta Braves,7,1,,Lower Baselines,Lower Box 102,29,74
San Francisco Giants vs. Atlanta Braves,5/28/17 1:05 PM,Atlanta Braves,7,1,,Lower Baselines,Lower Box 103,48,123
San Francisco Giants vs. Atlanta Braves,5/28/17 1:05 PM,Atlanta Braves,7,1,,Lower Baselines,Lower Box 104,55,145
San Francisco Giants vs. Atlanta Braves,5/28/17 1:05 PM,Atlanta Braves,7,1,,Lower Baselines,Lower Box 127,78,202
San Francisco Giants vs. Atlanta Braves,5/28/17 1:05 PM,Atlanta Braves,7,1,,Lower Baselines,Lower Box 128,63,159
San Francisco Giants vs. Atlanta Braves,5/28/17 1:05 PM,Atlanta Braves,7,1,,Lower Baselines,Lower Box 129,74,235
San Francisco Giants vs. Atlanta Braves,5/28/17 1:05 PM,Atlanta Braves,7,1,,Lower Baselines,Lower Box 130,72,238
San Francisco Giants vs. Atlanta Braves,5/28/17 1:05 PM,Atlanta Braves,7,1,,Reserve Baselines,View Reserve Outfield 325,24,93
San Francisco Giants vs. Atlanta Braves,5/28/17 1:05 PM,Atlanta Braves,7,1,,Reserve Baselines,View Reserve Outfield 326,6,31
San Francisco Giants vs. Atlanta Braves,5/28/17 1:05 PM,Atlanta Braves,7,1,,Reserve Baselines,View Reserve Outfield 327,91,283
San Francisco Giants vs. Atlanta Braves,5/28/17 1:05 PM,Atlanta Braves,7,1,,Reserve Baselines,View Reserve Outfield 328,84,217
San Francisco Giants vs. Atlanta Braves,5/28/17 1:05 PM,Atlanta Braves,7,1,,Reserve Baselines,View Reserve Outfield 330,70,264
San Francisco Giants vs. Atlanta Braves,5/28/17 1:05 PM,Atlanta Braves,7,1,,Reserve Baselines,View Reserve Outfield 331,17,81
San Francisco Giants vs. Atlanta Braves,5/28/17 1:05 PM,Atlanta Braves,7,1,,Reserve Baselines,View Reserve Right Field 302,37,101
San Francisco Giants vs. Atlanta Braves,5/28/17 1:05 PM,Atlanta Braves,7,1,,Reserve Baselines,View Reserve Right Field 304,60,223
San Francisco Giants vs. Atlanta Braves,5/28/17 1:05 PM,Atlanta Braves,7,1,,Reserve Baselines,View Reserve Right Field 305,87,275
San Francisco Giants vs. Atlanta Braves,5/28/17 1:05 PM,Atlanta Braves,7,1,,Reserve Baselines,View Reserve Right Field 307,20,64
San Francisco Giants vs. Atlanta Braves,5/28/17 1:05 PM,Atlanta Braves,7,1,,View Deck Baselines,View Box 302,6,24
San Francisco Giants vs. Atlanta Braves,5/28/17 1:05 PM,Atlanta Braves,7,1,,View Deck Baselines,View Box 304,17,44
San Francisco Giants vs. Atlanta Braves,5/28/17 1:05 PM,Atlanta Braves,7,1,,View Deck Baselines,View Box 305,15,27
San Francisco Giants vs. Atlanta Braves,5/28/17 1:05 PM,Atlanta Braves,7,1,,View Deck Baselines,View Box 326,14,34
San Francisco Giants vs. Atlanta Braves,5/28/17 1:05 PM,Atlanta Braves,7,1,,View Deck Baselines,View Box 327,15,43
San Francisco Giants vs. Atlanta Braves,5/28/17 1:05 PM,Atlanta Braves,7,1,,View Deck Baselines,View Box 328,18,45
San Francisco Giants vs. Atlanta Braves,5/28/17 1:05 PM,Atlanta Braves,7,1,,View Deck Baselines,View Box 330,21,60
San Francisco Giants vs. Atlanta Braves,5/28/17 1:05 PM,Atlanta Braves,7,1,,View Deck Baselines,View Box 331,12,50
San Francisco Giants vs. Washington Nationals,5/29/17 1:05 PM,Washington Nationals,0,3,,Club Baselines,Club Level Outfield 202,9,21
San Francisco Giants vs. Washington Nationals,5/29/17 1:05 PM,Washington Nationals,0,3,,Club Baselines,Club Level Outfield 203,19,46
San Francisco Giants vs. Washington Nationals,5/29/17 1:05 PM,Washington Nationals,0,3,,Club Baselines,Club Level Outfield 204,19,42
San Francisco Giants vs. Washington Nationals,5/29/17 1:05 PM,Washington Nationals,0,3,,Club Baselines,Club Level Outfield 205,18,41
San Francisco Giants vs. Washington Nationals,5/29/17 1:05 PM,Washington Nationals,0,3,,Club Baselines,Club Level Outfield 226,18,48
San Francisco Giants vs. Washington Nationals,5/29/17 1:05 PM,Washington Nationals,0,3,,Club Baselines,Club Level Outfield 227,20,51
San Francisco Giants vs. Washington Nationals,5/29/17 1:05 PM,Washington Nationals,0,3,,Club Baselines,Club Level Outfield 228,17,47
San Francisco Giants vs. Washington Nationals,5/29/17 1:05 PM,Washington Nationals,0,3,,Club Baselines,Club Level Outfield 229,26,70
San Francisco Giants vs. Washington Nationals,5/29/17 1:05 PM,Washington Nationals,0,3,,Club Baselines,Club Level Outfield 230,10,31
San Francisco Giants vs. Washington Nationals,5/29/17 1:05 PM,Washington Nationals,0,3,,Club Baselines,Club Level Outfield 231,8,22
San Francisco Giants vs. Washington Nationals,5/29/17 1:05 PM,Washington Nationals,0,3,,Lower Baselines,Lower Box 102,30,76
San Francisco Giants vs. Washington Nationals,5/29/17 1:05 PM,Washington Nationals,0,3,,Lower Baselines,Lower Box 103,46,114
San Francisco Giants vs. Washington Nationals,5/29/17 1:05 PM,Washington Nationals,0,3,,Lower Baselines,Lower Box 104,44,128
San Francisco Giants vs. Washington Nationals,5/29/17 1:05 PM,Washington Nationals,0,3,,Lower Baselines,Lower Box 127,79,215
San Francisco Giants vs. Washington Nationals,5/29/17 1:05 PM,Washington Nationals,0,3,,Lower Baselines,Lower Box 128,58,146
San Francisco Giants vs. Washington Nationals,5/29/17 1:05 PM,Washington Nationals,0,3,,Lower Baselines,Lower Box 129,84,248
San Francisco Giants vs. Washington Nationals,5/29/17 1:05 PM,Washington Nationals,0,3,,Lower Baselines,Lower Box 130,58,192
San Francisco Giants vs. Washington Nationals,5/29/17 1:05 PM,Washington Nationals,0,3,,Reserve Baselines,View Reserve Outfield 325,52,206
San Francisco Giants vs. Washington Nationals,5/29/17 1:05 PM,Washington Nationals,0,3,,Reserve Baselines,View Reserve Outfield 326,31,126
San Francisco Giants vs. Washington Nationals,5/29/17 1:05 PM,Washington Nationals,0,3,,Reserve Baselines,View Reserve Outfield 327,81,240
San Francisco Giants vs. Washington Nationals,5/29/17 1:05 PM,Washington Nationals,0,3,,Reserve Baselines,View Reserve Outfield 328,74,211
San Francisco Giants vs. Washington Nationals,5/29/17 1:05 PM,Washington Nationals,0,3,,Reserve Baselines,View Reserve Outfield 330,74,230
San Francisco Giants vs. Washington Nationals,5/29/17 1:05 PM,Washington Nationals,0,3,,Reserve Baselines,View Reserve Outfield 331,25,86
San Francisco Giants vs. Washington Nationals,5/29/17 1:05 PM,Washington Nationals,0,3,,Reserve Baselines,View Reserve Right Field 302,24,65
San Francisco Giants vs. Washington Nationals,5/29/17 1:05 PM,Washington Nationals,0,3,,Reserve Baselines,View Reserve Right Field 304,74,263
San Francisco Giants vs. Washington Nationals,5/29/17 1:05 PM,Washington Nationals,0,3,,Reserve Baselines,View Reserve Right Field 305,81,245
San Francisco Giants vs. Washington Nationals,5/29/17 1:05 PM,Washington Nationals,0,3,,Reserve Baselines,View Reserve Right Field 307,54,196
San Francisco Giants vs. Washington Nationals,5/29/17 1:05 PM,Washington Nationals,0,3,,Reserve Baselines,VR328,1,2
San Francisco Giants vs. Washington Nationals,5/29/17 1:05 PM,Washington Nationals,0,3,,View Deck Baselines,View Box 302,6,27
San Francisco Giants vs. Washington Nationals,5/29/17 1:05 PM,Washington Nationals,0,3,,View Deck Baselines,View Box 304,18,39
San Francisco Giants vs. Washington Nationals,5/29/17 1:05 PM,Washington Nationals,0,3,,View Deck Baselines,View Box 305,13,28
San Francisco Giants vs. Washington Nationals,5/29/17 1:05 PM,Washington Nationals,0,3,,View Deck Baselines,View Box 326,13,30
San Francisco Giants vs. Washington Nationals,5/29/17 1:05 PM,Washington Nationals,0,3,,View Deck Baselines,View Box 327,13,47
San Francisco Giants vs. Washington Nationals,5/29/17 1:05 PM,Washington Nationals,0,3,,View Deck Baselines,View Box 328,13,37
San Francisco Giants vs. Washington Nationals,5/29/17 1:05 PM,Washington Nationals,0,3,,View Deck Baselines,View Box 330,19,50
San Francisco Giants vs. Washington Nationals,5/29/17 1:05 PM,Washington Nationals,0,3,,View Deck Baselines,View Box 331,15,65
San Francisco Giants vs. Washington Nationals,5/30/17 7:15 PM,Washington Nationals,3,6,,Club Baselines,Club Level Outfield 202,9,21
San Francisco Giants vs. Washington Nationals,5/30/17 7:15 PM,Washington Nationals,3,6,,Club Baselines,Club Level Outfield 203,15,38
San Francisco Giants vs. Washington Nationals,5/30/17 7:15 PM,Washington Nationals,3,6,,Club Baselines,Club Level Outfield 204,12,34
San Francisco Giants vs. Washington Nationals,5/30/17 7:15 PM,Washington Nationals,3,6,,Club Baselines,Club Level Outfield 205,11,25
San Francisco Giants vs. Washington Nationals,5/30/17 7:15 PM,Washington Nationals,3,6,,Club Baselines,Club Level Outfield 226,13,31
San Francisco Giants vs. Washington Nationals,5/30/17 7:15 PM,Washington Nationals,3,6,,Club Baselines,Club Level Outfield 227,23,51
San Francisco Giants vs. Washington Nationals,5/30/17 7:15 PM,Washington Nationals,3,6,,Club Baselines,Club Level Outfield 228,15,46
San Francisco Giants vs. Washington Nationals,5/30/17 7:15 PM,Washington Nationals,3,6,,Club Baselines,Club Level Outfield 229,14,33
San Francisco Giants vs. Washington Nationals,5/30/17 7:15 PM,Washington Nationals,3,6,,Club Baselines,Club Level Outfield 230,6,17
San Francisco Giants vs. Washington Nationals,5/30/17 7:15 PM,Washington Nationals,3,6,,Club Baselines,Club Level Outfield 231,2,7
San Francisco Giants vs. Washington Nationals,5/30/17 7:15 PM,Washington Nationals,3,6,,Lower Baselines,Lower Box 102,12,34
San Francisco Giants vs. Washington Nationals,5/30/17 7:15 PM,Washington Nationals,3,6,,Lower Baselines,Lower Box 103,24,52
San Francisco Giants vs. Washington Nationals,5/30/17 7:15 PM,Washington Nationals,3,6,,Lower Baselines,Lower Box 104,31,89
San Francisco Giants vs. Washington Nationals,5/30/17 7:15 PM,Washington Nationals,3,6,,Lower Baselines,Lower Box 127,37,91
San Francisco Giants vs. Washington Nationals,5/30/17 7:15 PM,Washington Nationals,3,6,,Lower Baselines,Lower Box 128,39,101
San Francisco Giants vs. Washington Nationals,5/30/17 7:15 PM,Washington Nationals,3,6,,Lower Baselines,Lower Box 129,53,196
San Francisco Giants vs. Washington Nationals,5/30/17 7:15 PM,Washington Nationals,3,6,,Lower Baselines,Lower Box 130,39,123
San Francisco Giants vs. Washington Nationals,5/30/17 7:15 PM,Washington Nationals,3,6,,Reserve Baselines,View Reserve Outfield 326,1,7
San Francisco Giants vs. Washington Nationals,5/30/17 7:15 PM,Washington Nationals,3,6,,Reserve Baselines,View Reserve Outfield 327,9,18
San Francisco Giants vs. Washington Nationals,5/30/17 7:15 PM,Washington Nationals,3,6,,Reserve Baselines,View Reserve Outfield 328,9,24
San Francisco Giants vs. Washington Nationals,5/30/17 7:15 PM,Washington Nationals,3,6,,Reserve Baselines,View Reserve Outfield 330,6,25
San Francisco Giants vs. Washington Nationals,5/30/17 7:15 PM,Washington Nationals,3,6,,Reserve Baselines,View Reserve Outfield 331,1,4
San Francisco Giants vs. Washington Nationals,5/30/17 7:15 PM,Washington Nationals,3,6,,Reserve Baselines,View Reserve Right Field 302,8,16
San Francisco Giants vs. Washington Nationals,5/30/17 7:15 PM,Washington Nationals,3,6,,Reserve Baselines,View Reserve Right Field 304,9,53
San Francisco Giants vs. Washington Nationals,5/30/17 7:15 PM,Washington Nationals,3,6,,Reserve Baselines,View Reserve Right Field 305,17,67
San Francisco Giants vs. Washington Nationals,5/30/17 7:15 PM,Washington Nationals,3,6,,Reserve Baselines,View Reserve Right Field 307,7,34
San Francisco Giants vs. Washington Nationals,5/30/17 7:15 PM,Washington Nationals,3,6,,View Deck Baselines,View Box 302,4,6
San Francisco Giants vs. Washington Nationals,5/30/17 7:15 PM,Washington Nationals,3,6,,View Deck Baselines,View Box 304,6,13
San Francisco Giants vs. Washington Nationals,5/30/17 7:15 PM,Washington Nationals,3,6,,View Deck Baselines,View Box 305,7,17
San Francisco Giants vs. Washington Nationals,5/30/17 7:15 PM,Washington Nationals,3,6,,View Deck Baselines,View Box 326,7,17
San Francisco Giants vs. Washington Nationals,5/30/17 7:15 PM,Washington Nationals,3,6,,View Deck Baselines,View Box 327,13,27
San Francisco Giants vs. Washington Nationals,5/30/17 7:15 PM,Washington Nationals,3,6,,View Deck Baselines,View Box 328,5,8
San Francisco Giants vs. Washington Nationals,5/30/17 7:15 PM,Washington Nationals,3,6,,View Deck Baselines,View Box 330,9,20
San Francisco Giants vs. Washington Nationals,5/30/17 7:15 PM,Washington Nationals,3,6,,View Deck Baselines,View Box 331,5,25
San Francisco Giants vs. Washington Nationals,5/31/17 7:15 PM,Washington Nationals,1,3,,Club Baselines,Club Level Outfield 202,9,20
San Francisco Giants vs. Washington Nationals,5/31/17 7:15 PM,Washington Nationals,1,3,,Club Baselines,Club Level Outfield 203,13,33
San Francisco Giants vs. Washington Nationals,5/31/17 7:15 PM,Washington Nationals,1,3,,Club Baselines,Club Level Outfield 204,15,35
San Francisco Giants vs. Washington Nationals,5/31/17 7:15 PM,Washington Nationals,1,3,,Club Baselines,Club Level Outfield 205,12,26
San Francisco Giants vs. Washington Nationals,5/31/17 7:15 PM,Washington Nationals,1,3,,Club Baselines,Club Level Outfield 226,10,29
San Francisco Giants vs. Washington Nationals,5/31/17 7:15 PM,Washington Nationals,1,3,,Club Baselines,Club Level Outfield 227,9,30
San Francisco Giants vs. Washington Nationals,5/31/17 7:15 PM,Washington Nationals,1,3,,Club Baselines,Club Level Outfield 228,11,21
San Francisco Giants vs. Washington Nationals,5/31/17 7:15 PM,Washington Nationals,1,3,,Club Baselines,Club Level Outfield 229,12,27
San Francisco Giants vs. Washington Nationals,5/31/17 7:15 PM,Washington Nationals,1,3,,Club Baselines,Club Level Outfield 230,6,18
San Francisco Giants vs. Washington Nationals,5/31/17 7:15 PM,Washington Nationals,1,3,,Club Baselines,Club Level Outfield 231,1,2
San Francisco Giants vs. Washington Nationals,5/31/17 7:15 PM,Washington Nationals,1,3,,Lower Baselines,Lower Box 102,17,40
San Francisco Giants vs. Washington Nationals,5/31/17 7:15 PM,Washington Nationals,1,3,,Lower Baselines,Lower Box 103,19,39
San Francisco Giants vs. Washington Nationals,5/31/17 7:15 PM,Washington Nationals,1,3,,Lower Baselines,Lower Box 104,34,87
San Francisco Giants vs. Washington Nationals,5/31/17 7:15 PM,Washington Nationals,1,3,,Lower Baselines,Lower Box 127,50,137
San Francisco Giants vs. Washington Nationals,5/31/17 7:15 PM,Washington Nationals,1,3,,Lower Baselines,Lower Box 128,40,114
San Francisco Giants vs. Washington Nationals,5/31/17 7:15 PM,Washington Nationals,1,3,,Lower Baselines,Lower Box 129,54,178
San Francisco Giants vs. Washington Nationals,5/31/17 7:15 PM,Washington Nationals,1,3,,Lower Baselines,Lower Box 130,41,154
San Francisco Giants vs. Washington Nationals,5/31/17 7:15 PM,Washington Nationals,1,3,,Reserve Baselines,View Reserve Outfield 327,17,59
San Francisco Giants vs. Washington Nationals,5/31/17 7:15 PM,Washington Nationals,1,3,,Reserve Baselines,View Reserve Outfield 328,9,38
San Francisco Giants vs. Washington Nationals,5/31/17 7:15 PM,Washington Nationals,1,3,,Reserve Baselines,View Reserve Outfield 330,4,11
San Francisco Giants vs. Washington Nationals,5/31/17 7:15 PM,Washington Nationals,1,3,,Reserve Baselines,View Reserve Outfield 331,1,2
San Francisco Giants vs. Washington Nationals,5/31/17 7:15 PM,Washington Nationals,1,3,,Reserve Baselines,View Reserve Right Field 302,3,7
San Francisco Giants vs. Washington Nationals,5/31/17 7:15 PM,Washington Nationals,1,3,,Reserve Baselines,View Reserve Right Field 304,5,13
San Francisco Giants vs. Washington Nationals,5/31/17 7:15 PM,Washington Nationals,1,3,,Reserve Baselines,View Reserve Right Field 305,16,74
San Francisco Giants vs. Washington Nationals,5/31/17 7:15 PM,Washington Nationals,1,3,,Reserve Baselines,View Reserve Right Field 307,13,52
San Francisco Giants vs. Washington Nationals,5/31/17 7:15 PM,Washington Nationals,1,3,,View Deck Baselines,View Box 302,1,2
San Francisco Giants vs. Washington Nationals,5/31/17 7:15 PM,Washington Nationals,1,3,,View Deck Baselines,View Box 304,5,8
San Francisco Giants vs. Washington Nationals,5/31/17 7:15 PM,Washington Nationals,1,3,,View Deck Baselines,View Box 305,7,14
San Francisco Giants vs. Washington Nationals,5/31/17 7:15 PM,Washington Nationals,1,3,,View Deck Baselines,View Box 326,6,18
San Francisco Giants vs. Washington Nationals,5/31/17 7:15 PM,Washington Nationals,1,3,,View Deck Baselines,View Box 327,9,42
San Francisco Giants vs. Washington Nationals,5/31/17 7:15 PM,Washington Nationals,1,3,,View Deck Baselines,View Box 328,3,8
San Francisco Giants vs. Washington Nationals,5/31/17 7:15 PM,Washington Nationals,1,3,,View Deck Baselines,View Box 330,9,24
San Francisco Giants vs. Washington Nationals,5/31/17 7:15 PM,Washington Nationals,1,3,,View Deck Baselines,View Box 331,6,28
San Francisco Giants Vs. Minnesota Twins,6/9/17 7:15 PM,Minnesota Twins,0,4,,Club Baselines,Club Level Outfield 202,9,21
San Francisco Giants Vs. Minnesota Twins,6/9/17 7:15 PM,Minnesota Twins,0,4,,Club Baselines,Club Level Outfield 203,18,48
San Francisco Giants Vs. Minnesota Twins,6/9/17 7:15 PM,Minnesota Twins,0,4,,Club Baselines,Club Level Outfield 204,18,39
San Francisco Giants Vs. Minnesota Twins,6/9/17 7:15 PM,Minnesota Twins,0,4,,Club Baselines,Club Level Outfield 205,11,24
San Francisco Giants Vs. Minnesota Twins,6/9/17 7:15 PM,Minnesota Twins,0,4,,Club Baselines,Club Level Outfield 226,13,33
San Francisco Giants Vs. Minnesota Twins,6/9/17 7:15 PM,Minnesota Twins,0,4,,Club Baselines,Club Level Outfield 227,12,31
San Francisco Giants Vs. Minnesota Twins,6/9/17 7:15 PM,Minnesota Twins,0,4,,Club Baselines,Club Level Outfield 228,13,32
San Francisco Giants Vs. Minnesota Twins,6/9/17 7:15 PM,Minnesota Twins,0,4,,Club Baselines,Club Level Outfield 229,20,56
San Francisco Giants Vs. Minnesota Twins,6/9/17 7:15 PM,Minnesota Twins,0,4,,Club Baselines,Club Level Outfield 230,4,11
San Francisco Giants Vs. Minnesota Twins,6/9/17 7:15 PM,Minnesota Twins,0,4,,Club Baselines,Club Level Outfield 231,1,2
San Francisco Giants Vs. Minnesota Twins,6/9/17 7:15 PM,Minnesota Twins,0,4,,Lower Baselines,Lower Box 102,24,61
San Francisco Giants Vs. Minnesota Twins,6/9/17 7:15 PM,Minnesota Twins,0,4,,Lower Baselines,Lower Box 103,34,91
