description,event_datetime,visiting_team,home_team_score,visiting_team_score,promotion,zone_name,section_name,number_of_transactions,number_of_tickets
San Francisco Giants vs. Arizona Diamondbacks,4/11/17 7:15 PM,Arizona Diamondbacks,3,4,,Club Baselines,Club Level Outfield 205,17,42
San Francisco Giants vs. Arizona Diamondbacks,4/11/17 7:15 PM,Arizona Diamondbacks,3,4,,Club Baselines,Club Level Outfield 226,15,43
San Francisco Giants vs. Arizona Diamondbacks,4/11/17 7:15 PM,Arizona Diamondbacks,3,4,,Club Baselines,Club Level Outfield 227,30,70
San Francisco Giants vs. Arizona Diamondbacks,4/11/17 7:15 PM,Arizona Diamondbacks,3,4,,Club Baselines,Club Level Outfield 228,20,58
San Francisco Giants vs. Arizona Diamondbacks,4/11/17 7:15 PM,Arizona Diamondbacks,3,4,,Club Baselines,Club Level Outfield 229,25,68
San Francisco Giants vs. Arizona Diamondbacks,4/11/17 7:15 PM,Arizona Diamondbacks,3,4,,Club Baselines,Club Level Outfield 230,8,19
San Francisco Giants vs. Arizona Diamondbacks,4/11/17 7:15 PM,Arizona Diamondbacks,3,4,,Club Baselines,Club Level Outfield 231,4,10
San Francisco Giants vs. Arizona Diamondbacks,4/11/17 7:15 PM,Arizona Diamondbacks,3,4,,Lower Baselines,104,1,2
San Francisco Giants vs. Arizona Diamondbacks,4/11/17 7:15 PM,Arizona Diamondbacks,3,4,,Lower Baselines,Lower Box 102,20,43
San Francisco Giants vs. Arizona Diamondbacks,4/11/17 7:15 PM,Arizona Diamondbacks,3,4,,Lower Baselines,Lower Box 103,48,114
San Francisco Giants vs. Arizona Diamondbacks,4/11/17 7:15 PM,Arizona Diamondbacks,3,4,,Lower Baselines,Lower Box 104,46,125
San Francisco Giants vs. Arizona Diamondbacks,4/11/17 7:15 PM,Arizona Diamondbacks,3,4,,Lower Baselines,Lower Box 127,80,210
San Francisco Giants vs. Arizona Diamondbacks,4/11/17 7:15 PM,Arizona Diamondbacks,3,4,,Lower Baselines,Lower Box 128,58,134
San Francisco Giants vs. Arizona Diamondbacks,4/11/17 7:15 PM,Arizona Diamondbacks,3,4,,Lower Baselines,Lower Box 129,74,201
San Francisco Giants vs. Arizona Diamondbacks,4/11/17 7:15 PM,Arizona Diamondbacks,3,4,,Lower Baselines,Lower Box 130,54,197
San Francisco Giants vs. Arizona Diamondbacks,4/11/17 7:15 PM,Arizona Diamondbacks,3,4,,Reserve Baselines,View Reserve Outfield 325,10,26
San Francisco Giants vs. Arizona Diamondbacks,4/11/17 7:15 PM,Arizona Diamondbacks,3,4,,Reserve Baselines,View Reserve Outfield 326,11,29
San Francisco Giants vs. Arizona Diamondbacks,4/11/17 7:15 PM,Arizona Diamondbacks,3,4,,Reserve Baselines,View Reserve Outfield 327,78,210
San Francisco Giants vs. Arizona Diamondbacks,4/11/17 7:15 PM,Arizona Diamondbacks,3,4,,Reserve Baselines,View Reserve Outfield 328,78,198
San Francisco Giants vs. Arizona Diamondbacks,4/11/17 7:15 PM,Arizona Diamondbacks,3,4,,Reserve Baselines,View Reserve Outfield 330,74,200
San Francisco Giants vs. Arizona Diamondbacks,4/11/17 7:15 PM,Arizona Diamondbacks,3,4,,Reserve Baselines,View Reserve Outfield 331,2,4
San Francisco Giants vs. Arizona Diamondbacks,4/11/17 7:15 PM,Arizona Diamondbacks,3,4,,Reserve Baselines,View Reserve Right Field 302,27,68
San Francisco Giants vs. Arizona Diamondbacks,4/11/17 7:15 PM,Arizona Diamondbacks,3,4,,Reserve Baselines,View Reserve Right Field 304,69,205
San Francisco Giants vs. Arizona Diamondbacks,4/11/17 7:15 PM,Arizona Diamondbacks,3,4,,Reserve Baselines,View Reserve Right Field 305,82,270
